20181001T,0,0,0,0,0
20181002T,0,0,0,0,0
20181003T,0,0,0,0,0
20181004T,0,0,0,0,0
20181005T,0,0,0,0,0
20181006T,0,0,0,0,0
20181007T,0,0,0,0,0
20181008T,0,0,0,0,0
20181009T,0,0,0,0,0
20181010T,0,0,0,0,0
20181011T,0,0,0,0,0
20181012T,0,0,0,0,0
20181013T,0,0,0,0,0
20181014T,0,0,0,0,0
20181015T,0,0,0,0,0
20181016T,0,0,0,0,0
20181017T,0,0,0,0,0
20181018T,0,0,0,0,0
20181019T,0,0,0,0,0
20181020T,0,0,0,0,0
20181021T,0,0,0,0,0
20181022T,0,0,0,0,0
20181023T,0,0,0,0,0
20181024T,0,0,0,0,0
20181025T,0,0,0,0,0
20181026T,0,0,0,0,0
20181027T,0,0,0,0,0
20181028T,0,0,0,0,0
20181029T,0,0,0,0,0
20181030T,0,0,0,0,0
20181031T,0,0,0,0,0
20181101T,0,0,0,0,0
20181102T,0,0,0,0,0
20181103T,0,0,0,0,0
20181104T,0,0,0,0,0
20181105T,0,0,0,0,0
20181106T,0,0,0,0,0
20181107T,0,0,0,0,0
20181108T,0,0,0,0,0
20181109T,1.731350312,1.731350312,1.731350312,1.731350312,0
20181110T,0.2445655927,0.2445655927,0.2445655927,0.2445655927,0
20181111T,2.113709345,2.113709345,2.113709345,2.113709345,0
20181112T,1.142826223,1.142826223,1.142826223,1.142826223,0
20181113T,-1.351425463,-1.351425463,-1.351425463,-1.351425463,0
20181114T,-6.935686011,-6.935686011,-6.935686011,-6.935686011,0
20181115T,-17.13398283,-17.13398283,-17.13398283,-17.13398283,0
20181116T,-28.22628919,-28.22628919,-28.22628919,-28.22628919,0
20181117T,-40.22751216,-40.22751216,-40.22751216,-40.22751216,0
20181118T,-52.24585272,-52.24585272,-52.24585272,-52.24585272,0
20181119T,-58.11873713,-58.11873713,-58.11873713,-58.11873713,0
20181120T,-68.50789209,-68.50789209,-68.50789209,-68.50789209,0
20181121T,-81.90651261,-81.90651261,-81.90651261,-81.90651261,0
20181122T,-87.31123307,-87.31123307,-87.31123307,-87.31123307,0
20181123T,-95.55414539,-95.55414539,-95.55414539,-95.55414539,0
20181124T,-105.4824972,-105.4824972,-105.4824972,-105.4824972,0
20181125T,-118.4022579,-118.4022579,-118.4022579,-118.4022579,0
20181126T,-125.4150746,-125.4150746,-125.4150746,-125.4150746,0
20181127T,-135.24239,-135.24239,-135.24239,-135.24239,0
20181128T,-139.4269651,-139.4269651,-139.4269651,-139.4269651,0
20181129T,-136.2660745,-136.2660745,-136.2660745,-136.2660745,0
20181130T,-132.8406152,-132.8406152,-132.8406152,-132.8406152,0
20181201T,-134.2060769,-134.2060769,-134.2060769,-134.2060769,0
20181202T,-129.1609487,-129.1609487,-129.1609487,-129.1609487,0
20181203T,-128.1599919,-128.1599919,-128.1599919,-128.1599919,0
20181204T,-131.9218063,-131.9218063,-131.9218063,-131.9218063,0
20181205T,-131.5369811,-131.5369811,-131.5369811,-131.5369811,0
20181206T,-135.7087031,-135.7087031,-135.7087031,-135.7087031,0
20181207T,-143.6554144,-143.6554144,-143.6554144,-143.6554144,0
20181208T,-152.690008,-152.690008,-152.690008,-152.690008,0
20181209T,-159.2095679,-159.2095679,-159.2095679,-159.2095679,0
20181210T,-158.6461764,-158.6461764,-158.6461764,-158.6461764,0
20181211T,-161.8296781,-161.8296781,-161.8296781,-161.8296781,0
20181212T,-166.8008563,-166.8008563,-166.8008563,-166.8008563,0
20181213T,-167.3756418,-167.3756418,-167.3756418,-167.3756418,0
20181214T,-172.0886376,-172.0886376,-172.0886376,-172.0886376,0
20181215T,-179.0162384,-179.0162384,-179.0162384,-179.0162384,0
20181216T,-185.1026883,-185.1026883,-185.1026883,-185.1026883,0
20181217T,-185.8395221,-185.8395221,-185.8395221,-185.8395221,0
20181218T,-179.2987498,-179.2987498,-179.2987498,-179.2987498,0
20181219T,-167.9683283,-167.9683283,-167.9683283,-167.9683283,0
20181220T,-153.9994087,-153.9994087,-153.9994087,-153.9994087,0
20181221T,-135.7444179,-135.7444179,-135.7444179,-135.7444179,0
20181222T,-123.5161111,-123.5161111,-123.5161111,-123.5161111,0
20181223T,-107.4017608,-107.4017608,-107.4017608,-107.4017608,0
20181224T,-89.04541494,-89.04541494,-89.04541494,-89.04541494,0
20181225T,-71.66394464,-71.66394464,-71.66394464,-71.66394464,0
20181226T,-61.60290029,-61.60290029,-61.60290029,-61.60290029,0
20181227T,-51.25112536,-51.25112536,-51.25112536,-51.25112536,0
20181228T,-47.10253465,-47.10253465,-47.10253465,-47.10253465,0
20181229T,-38.07840941,-38.07840941,-38.07840941,-38.07840941,0
20181230T,-32.93082276,-32.93082276,-32.93082276,-32.93082276,0
20181231T,-29.32341455,-29.32341455,-29.32341455,-29.32341455,0
20190101T,-30.25089594,-30.25089594,-30.25089594,-30.25089594,0
20190102T,-26.35107053,-26.35107053,-26.35107053,-26.35107053,0
20190103T,-17.54339694,-17.54339694,-17.54339694,-17.54339694,0
20190104T,-13.98355152,-13.98355152,-13.98355152,-13.98355152,0
20190105T,-8.428398412,-8.428398412,-8.428398412,-8.428398412,0
20190106T,-3.995032997,-3.995032997,-3.995032997,-3.995032997,0
20190107T,5.457037113,5.457037113,5.457037113,5.457037113,0
20190108T,10.15283939,10.15283939,10.15283939,10.15283939,0
20190109T,14.85855365,14.85855365,14.85855365,14.85855365,0
20190110T,19.54921409,19.54921409,19.54921409,19.54921409,0
20190111T,18.50355022,18.50355022,18.50355022,18.50355022,0
20190112T,18.95855737,18.95855737,18.95855737,18.95855737,0
20190113T,18.39436321,18.39436321,18.39436321,18.39436321,0
20190114T,12.8615729,12.8615729,12.8615729,12.8615729,0
20190115T,14.00829684,14.00829684,14.00829684,14.00829684,0
20190116T,10.96027184,10.96027184,10.96027184,10.96027184,0
20190117T,12.04097662,12.04097662,12.04097662,12.04097662,0
20190118T,15.94634184,15.94634184,15.94634184,15.94634184,0
20190119T,15.84726491,15.84726491,15.84726491,15.84726491,0
20190120T,21.22488533,21.22488533,21.22488533,21.22488533,0
20190121T,21.35819388,21.35819388,21.35819388,21.35819388,0
20190122T,20.00694923,20.00694923,20.00694923,20.00694923,0
20190123T,20.99316782,20.99316782,20.99316782,20.99316782,0
20190124T,19.6729864,19.6729864,19.6729864,19.6729864,0
20190125T,19.78743386,19.78743386,19.78743386,19.78743386,0
20190126T,17.92791679,17.92791679,17.92791679,17.92791679,0
20190127T,15.68995763,15.68995763,15.68995763,15.68995763,0
20190128T,10.33962027,10.33962027,10.33962027,10.33962027,0
20190129T,0.4549512446,0.4549512446,0.4549512446,0.4549512446,0
20190130T,-9.457148014,-9.457148014,-9.457148014,-9.457148014,0
20190131T,-13.24313962,-13.24313962,-13.24313962,-13.24313962,0
20190201T,-20.87237924,-20.87237924,-20.87237924,-20.87237924,0
20190202T,-24.54944969,-24.54944969,-24.54944969,-24.54944969,0
